IPP-Werkspoor;;Is onderdeel van IPP-Werkspoor;;;IPP-Werksporen;;;Activiteiten;;;Wordt in huidige situatie uitgevoerd met Tools;;Heeft output Product;;Heeft input Product;;Heeft verantwoordelijke Persoon;
;Naam;;Code;Naam;;Code;Naam;;Nummer tbv volgorde;Naam;;Naam;;Naam;;Naam;;Name
IPP-7;Financieel Management (PM);IPP-1;1;Besluit spoor Projectmanagement;;;;ACT-16;1;Beheersen budget;TLS-30;Primavera P6 EPPM;PRD-61;Budget beheersing;PRD-50;Baselines financieel;PRS-2;Wim Kloezen
;;;;;;;;;;;TLS-96;MS Excel 365;;;PRD-51;Financiële rapportage;;
;;;;;;;;ACT-17;2;Verantwoorden budget;TLS-30;Primavera P6 EPPM;PRD-62;Budget verantwoording;PRD-50;Baselines financieel;;
;;;;;;;;;;;TLS-96;MS Excel 365;;;PRD-51;Financiële rapportage;;
;;;;;;;;ACT-18;3;Managen VTW's;TLS-95;MS Word 365;PRD-63;VTW-management;;;;
;;;;;;;;;;;TLS-96;MS Excel 365;;;;;;
IPP-34;Financiën (eigen opdracht);IPP-46;;PB-Sturing (eigen opdracht);;;;ACT-92;;Beheren baselines financieel management;TLS-96;MS Excel 365;PRD-50;Baselines financieel;PRD-54;Work Breakdown Structure;PRS-3;Marleen Aarts
;;;;;;;;;;;;;;;PRD-55;Product Breakdown Structure;PRS-11;Tom van der Meijs
;;;;;;;;ACT-93;;Opstellen financiële rapportage;TLS-95;MS Word 365;PRD-51;Financiële rapportage;;;;
;;;;;;;;;;;TLS-96;MS Excel 365;;;;;;
;;;;;;;;ACT-176;;Opstellen termijnen;TLS-96;MS Excel 365;PRD-329;Termijnstaat;PRD-54;Work Breakdown Structure;;
;;;;;;;;;;;;;PRD-330;Termijn en verzoek tot PV;PRD-55;Product Breakdown Structure;;
;;;;;;;;;;;;;;;PRD-328;Documentenlijst;;
IPP-51;Financiën (klantvraag);IPP-47;;PB-Afbakening (klantopgave);;;;ACT-169;;Opstellen kostenraming / SSK;TLS-96;MS Excel 365;PRD-118;Kostenraming (SSK);;;PRS-11;Tom van der Meijs
;;;;;;;;ACT-174;;Opstellen kostennota;TLS-95;MS Word 365;PRD-117;Kostennota;;;;
IPP-39;Geodesie;IPP-20;3.5;Technische Onderzoeken;;;;;;;;;;;;;PRS-4;Wouter Schreuder
IPP-37;Geohydrologie;IPP-20;3.5;Technische Onderzoeken;;;;;;;;;;;;;PRS-4;Wouter Schreuder
IPP-38;Geotechniek;IPP-20;3.5;Technische Onderzoeken;;;;;;;;;;;;;PRS-4;Wouter Schreuder
IPP-23;Grondverwerving;IPP-4;4;Klant en Omgevingsmanagement;;;;ACT-66;;3. (Ondersteunen) aanvragen vergunningen, ontheffingen en toestemmingen;;;;;;;PRS-5;Paul Hoogerwerf
;;;;;;;;ACT-67;;1. Opstellen (grond)verwervingsplan;;;PRD-29;(Grond)verwervingsplan;;;PRS-6;Lotte Diephuis
;;;;;;;;ACT-68;;2. Bepalen omvang planschade(s) en bijbehorende compensatie;;;PRD-30;Planschaderapport;;;PRS-12;Eline Bremer
;;;;;;;;ACT-69;;4. Verwerven gronden;;;PRD-98;Akte grondaankoop;;;;
;;;;;;;;;;;;;PRD-99;Dossier grondverwerving;;;;
IPP-49;Informatie (eigen opdracht);IPP-46;;PB-Sturing (eigen opdracht);;;;ACT-163;;Inrichten informatielandschap;TLS-32;Relatics;;;;;PRS-11;Tom van der Meijs
;;;;;;;;;;;TLS-99;MS Sharepoint;;;;;;
;;;;;;;;ACT-165;;Opstellen en beheren documenten/productenlijst;TLS-32;Relatics;PRD-328;Documentenlijst;;;;
;;;;;;;;;;;TLS-96;MS Excel 365;;;;;;
